id,lat,lon,division,district,upazila,union,mouza,depth,colour,as
MSU358,23.3877,89.356,Khulna,Magura,Shalikha,Talkhari,Uchgram,58,75
MSU359,23.3873,89.3584,Khulna,Magura,Shalikha,Talkhari,Uchgram,49,102
MSU351,23.3882,89.3586,Khulna,Magura,Shalikha,Talkhari,Uchgram,40,85
MSU354,23.3866,89.3599,Khulna,Magura,Shalikha,Talkhari,Uchgram,52,24
MSU355,23.3854,89.3604,Khulna,Magura,Shalikha,Arpara,Chukinagar,52,119
MSA366,23.388,89.3936,Khulna,Magura,Shalikha,Arpara,Alokdia,52,0
MSA372,23.3891,89.3938,Khulna,Magura,Shalikha,Arpara,Alokdia,49,0
MSA370,23.3892,89.394,Khulna,Magura,Shalikha,Arpara,Alokdia,56,0
MSA364,23.3872,89.3947,Khulna,Magura,Shalikha,Arpara,Alokdia,55,3
MSA363,23.3869,89.3961,Khulna,Magura,Shalikha,Arpara,Dari Salai,53,17
MSA361,23.3864,89.3964,Khulna,Magura,Shalikha,Arpara,Dari Salai,55,82
MSmA376,23.3896,89.4385,Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,37,0
MSmA382,23.3922,89.4397,Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,49,0
MSmA383,23.3916,89.4397,Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,49,0
MSmA374,23.3865,89.4399,Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,55,0
MSmA378,23.3925,89.441,Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,49,0
MSmB389,23.3837,89.4614,Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,61,0
MSmB392,23.3822,89.4621,Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,49,0
MSmB395,23.3821,89.463,Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,55,0
MSmB387,23.3803,89.4633,Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,49,0
MSmB386,23.3808,89.4648,Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,66,20
MSmB384,23.3811,89.4683,Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,55,0
MSmS397,23.3867,89.4858,Khulna,Magura,Magura Sadar,Gopalgram,Sankochkhali,55,0
MSmS399,23.3895,89.4892,Khulna,Magura,Magura Sadar,Gopalgram,Sankochkhali,46,1
MSmS401,23.391,89.4913,Khulna,Magura,Magura Sadar,Gopalgram,Sankochkhali,46,0
MSmS402,23.3911,89.4914,Khulna,Magura,Magura Sadar,Gopalgram,Sankochkhali,46,8
MSmS405,23.3917,89.4962,Khulna,Magura,Magura Sadar,Gopalgram,Gopalgram,61,0
EMK406,23.3786,89.5278,Khulna,Magura,Mohammadpur,Rajapur,Rajpat,55,0
EMK408,23.3858,89.5344,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,46,0
EMK409,23.3899,89.5366,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,46,0
EMK417,23.391,89.5375,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,50,11
EMK410,23.3897,89.5382,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,55,284
EMK416,23.3895,89.5417,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,58,3
EMK415,23.3903,89.542,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,55,1
EMK418,23.3862,89.5423,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,55,0
EMK419,23.3897,89.5426,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,52,4
EMK412,23.39,89.5429,Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,62,2
EMK414,23.3888,89.5437,Khulna,Magura,Mohammadpur,Balidia,Nikharhata,50,3
EMK413,23.389,89.5492,Khulna,Magura,Mohammadpur,Balidia,Sreepur,55,15
EMN422,23.3987,89.5814,Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,23,54
EMN421,23.3989,89.5815,Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,107,27
EMN426,23.3989,89.5825,Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,79,0
EMN424,23.3982,89.5829,Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,91,108
EMN431,23.3997,89.5838,Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,91,729
EMN432,23.398,89.5854,Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,50,211
EBO437,23.3814,89.6371,Dhaka,Faridpur,Boalmari,Gunbaha,Umarnagar,15,50
EBO433,23.3818,89.6374,Dhaka,Faridpur,Boalmari,Gunbaha,Umarnagar,37,1
EBO441,23.3774,89.6384,Dhaka,Faridpur,Boalmari,Gunbaha,Kamarhela,15,57
EBO436,23.384,89.6393,Dhaka,Faridpur,Boalmari,Gunbaha,Umarnagar,20,28
EBO435,23.3831,89.6394,Dhaka,Faridpur,Boalmari,Gunbaha,Umarnagar,20,384
EBG447,23.3806,89.6723,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,58,0
EBG446,23.3818,89.6736,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,69,1
EBG448,23.3829,89.6737,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,58,109
EBG445,23.3819,89.6744,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,56,1
EBG450,23.3825,89.6745,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,20,44
EBG444,23.3816,89.6749,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,38,39
EBG452,23.3823,89.6749,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,67,0
EBG454,23.3829,89.6749,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,64,19
EBG449,23.3834,89.675,Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,59,69
EBP460,23.3846,89.7264,Dhaka,Faridpur,Boalmari,Chatul,Dhulpukuria,34,199
EBP462,23.386,89.7286,Dhaka,Faridpur,Boalmari,Chatul,Dhulpukuria,27,167
EBP459,23.3851,89.7291,Dhaka,Faridpur,Boalmari,Chatul,Dhulpukuria,24,63
EBP457,23.3843,89.7304,Dhaka,Faridpur,Boalmari,Chatul,Dhulpukuria,38,36
ENR473,23.3892,89.7777,Dhaka,Faridpur,Saltha,Jadunandi,Bara Khardia,27,691
ENR468,23.3929,89.7786,Dhaka,Faridpur,Saltha,Sonapur,Jogardia,76,206
ENR469,23.3915,89.7793,Dhaka,Faridpur,Saltha,Jadunandi,Bara Khardia,24,447
ENR470,23.39,89.7802,Dhaka,Faridpur,Saltha,Jadunandi,Bara Khardia,15,61
ENR464,23.3948,89.7805,Dhaka,Faridpur,Saltha,Sonapur,Jogardia,24,41
ENR466,23.3938,89.781,Dhaka,Faridpur,Saltha,Sonapur,Jogardia,24,421
ENK474,23.3913,89.8194,Dhaka,Faridpur,Saltha,Majhardia,Kagdi,14,186
ENK475,23.3916,89.8202,Dhaka,Faridpur,Saltha,Majhardia,Kagdi,11,169
ENK477,23.3925,89.8217,Dhaka,Faridpur,Saltha,Majhardia,Kagdi,14,161
ENK478,23.3929,89.8218,Dhaka,Faridpur,Saltha,Majhardia,Kagdi,15,265
ENK479,23.3925,89.8224,Dhaka,Faridpur,Saltha,Majhardia,Kagdi,21,280
ENK481,23.391,89.8245,Dhaka,Faridpur,Saltha,Majhardia,Kagdi,14,271
ENP486,23.4113,89.8493,Dhaka,Faridpur,Saltha,Majhardia,Khalishpatti,21,317
ENP484,23.4146,89.8494,Dhaka,Faridpur,Saltha,Majhardia,Khalishpatti,20,327
ENP488,23.4137,89.8503,Dhaka,Faridpur,Saltha,Majhardia,Khalishpatti,15,264
ENP492,23.415,89.851,Dhaka,Faridpur,Saltha,Majhardia,Harina,24,288
ENP493,23.4133,89.8514,Dhaka,Faridpur,Saltha,Majhardia,Khalishpatti,15,535
ENP491,23.4143,89.8516,Dhaka,Faridpur,Saltha,Majhardia,Harina,17,367
ENP490,23.4132,89.8522,Dhaka,Faridpur,Saltha,Majhardia,Harina,33,149
ENP489,23.4125,89.8523,Dhaka,Faridpur,Saltha,Majhardia,Harina,49,160
