Division,District,Upazila,Depth,Arsenic,Union,Village,SlNo
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,109
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,110
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,111
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,112
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,113
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,114
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,115
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,116
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,117
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,118
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,119
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,120
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,121
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,122
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,123
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,124
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,125
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,126
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali,Kathali,127
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,128
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,129
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,130
Chittagong,Lakshmipur,Lakshmipur Sadar,26,20,Kushakhali,Kathali,131
Chittagong,Lakshmipur,Lakshmipur Sadar,820,10,Kushakhali,Kathali,132
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,133
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,134
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,135
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,136
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,137
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,138
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,139
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,140
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,141
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,142
Chittagong,Lakshmipur,Lakshmipur Sadar,38,10,Kushakhali,Kathali,143
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,144
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,Kathali,145
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,146
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,147
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,148
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,149
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kathali,150
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kathali,151
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,152
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kathali,153
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,Kathali,154
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,155
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,156
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,157
Chittagong,Lakshmipur,Lakshmipur Sadar,26,30,Kushakhali,Kathali,158
Chittagong,Lakshmipur,Lakshmipur Sadar,26,70,Kushakhali,Kathali,159
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,Kathali,160
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,161
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,Kathali,162
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,163
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,164
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,165
Chittagong,Lakshmipur,Lakshmipur Sadar,820,10,Kushakhali,Kathali,166
Chittagong,Lakshmipur,Lakshmipur Sadar,780,10,Kushakhali,Kathali,167
Chittagong,Lakshmipur,Lakshmipur Sadar,780,10,Kushakhali,Kathali,168
Chittagong,Lakshmipur,Lakshmipur Sadar,760,10,Kushakhali,Kathali,169
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,170
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,171
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,172
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Mitharkhil,173
Chittagong,Lakshmipur,Lakshmipur Sadar,25,10,Kushakhali,Mitharkhil,174
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,175
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,176
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,177
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Mitharkhil,178
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Mitharkhil,179
Chittagong,Lakshmipur,Lakshmipur Sadar,26,20,Kushakhali,Mitharkhil,180
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,181
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali,Mitharkhil,182
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,183
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,184
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,185
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Mitharkhil,186
Chittagong,Lakshmipur,Lakshmipur Sadar,26,250,Kushakhali,Mitharkhil,187
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,188
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,189
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,Mitharkhil,190
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Mitharkhil,191
Chittagong,Lakshmipur,Lakshmipur Sadar,39,30,Kushakhali,Mitharkhil,192
Chittagong,Lakshmipur,Lakshmipur Sadar,36,10,Kushakhali,Mitharkhil,193
Chittagong,Lakshmipur,Lakshmipur Sadar,26,40,Kushakhali,Mitharkhil,194
Chittagong,Lakshmipur,Lakshmipur Sadar,26,30,Kushakhali,Mitharkhil,195
Chittagong,Lakshmipur,Lakshmipur Sadar,26,20,Kushakhali,Mitharkhil,196
Chittagong,Lakshmipur,Lakshmipur Sadar,26,40,Kushakhali,Mitharkhil,197
Chittagong,Lakshmipur,Lakshmipur Sadar,26,20,Kushakhali,Mitharkhil,198
Chittagong,Lakshmipur,Lakshmipur Sadar,860,0,Kushakhali,Mitharkhil,199
Chittagong,Lakshmipur,Lakshmipur Sadar,780,0,Kushakhali,South Kallyan pur,200
Chittagong,Lakshmipur,Lakshmipur Sadar,33,30,Kushakhali,South Kallyan pur,201
Chittagong,Lakshmipur,Lakshmipur Sadar,28,30,Kushakhali,South Kallyan pur,202
Chittagong,Lakshmipur,Lakshmipur Sadar,30,40,Kushakhali,South Kallyan pur,203
Chittagong,Lakshmipur,Lakshmipur Sadar,26,60,Kushakhali,South Kallyan pur,204
Chittagong,Lakshmipur,Lakshmipur Sadar,26,70,Kushakhali,South Kallyan pur,205
Chittagong,Lakshmipur,Lakshmipur Sadar,36,40,Kushakhali,South Kallyan pur,206
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,South Kallyan pur,207
Chittagong,Lakshmipur,Lakshmipur Sadar,30,100,Kushakhali,South Kallyan pur,208
Chittagong,Lakshmipur,Lakshmipur Sadar,26,30,Kushakhali,South Kallyan pur,209
Chittagong,Lakshmipur,Lakshmipur Sadar,36,300,Kushakhali,South Kallyan pur,210
Chittagong,Lakshmipur,Lakshmipur Sadar,26,100,Kushakhali,South Kallyan pur,211
Chittagong,Lakshmipur,Lakshmipur Sadar,26,20,Kushakhali,South Kallyan pur,212
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,South Kallyan pur,213
Chittagong,Lakshmipur,Lakshmipur Sadar,26,20,Kushakhali,South Kallyan pur,214
Chittagong,Lakshmipur,Lakshmipur Sadar,39,300,Kushakhali,East Kallyan pur,215
Chittagong,Lakshmipur,Lakshmipur Sadar,26,30,Kushakhali,East Kallyan pur,216
Chittagong,Lakshmipur,Lakshmipur Sadar,26,500,Kushakhali,East Kallyan pur,217
Chittagong,Lakshmipur,Lakshmipur Sadar,37,400,Kushakhali,East Kallyan pur,218
Chittagong,Lakshmipur,Lakshmipur Sadar,26,500,Kushakhali,East Kallyan pur,219
Chittagong,Lakshmipur,Lakshmipur Sadar,40,60,Kushakhali,East Kallyan pur,220
Chittagong,Lakshmipur,Lakshmipur Sadar,36,200,Kushakhali,East Kallyan pur,221
Chittagong,Lakshmipur,Lakshmipur Sadar,860,0,Kushakhali,East Kallyan pur,222
Chittagong,Lakshmipur,Lakshmipur Sadar,860,0,Kushakhali,East Kallyan pur,223
Chittagong,Lakshmipur,Lakshmipur Sadar,35,200,Kushakhali,East Kallyan pur,224
Chittagong,Lakshmipur,Lakshmipur Sadar,35,70,Kushakhali,East Kallyan pur,225
Chittagong,Lakshmipur,Lakshmipur Sadar,30,70,Kushakhali,East Kallyan pur,226
Chittagong,Lakshmipur,Lakshmipur Sadar,26,70,Kushakhali,East Kallyan pur,227
Chittagong,Lakshmipur,Lakshmipur Sadar,36,100,Kushakhali,East Kallyan pur,228
Chittagong,Lakshmipur,Lakshmipur Sadar,37,70,Kushakhali,East Kallyan pur,229
Chittagong,Lakshmipur,Lakshmipur Sadar,34,100,Kushakhali,East Kallyan pur,230
Chittagong,Lakshmipur,Lakshmipur Sadar,31,40,Kushakhali,East Kallyan pur,231
Chittagong,Lakshmipur,Lakshmipur Sadar,26,40,Kushakhali,East Kallyan pur,232
Chittagong,Lakshmipur,Lakshmipur Sadar,33,70,Kushakhali,East Kallyan pur,233
Chittagong,Lakshmipur,Lakshmipur Sadar,40,40,Kushakhali,East Kallyan pur,234
Chittagong,Lakshmipur,Lakshmipur Sadar,40,500,Kushakhali,East Kallyan pur,235
Chittagong,Lakshmipur,Lakshmipur Sadar,31,400,Kushakhali,East Kallyan pur,236
Chittagong,Lakshmipur,Lakshmipur Sadar,26,70,Kushakhali,East Kallyan pur,237
Chittagong,Lakshmipur,Lakshmipur Sadar,26,50,Kushakhali,East Kallyan pur,238
Chittagong,Lakshmipur,Lakshmipur Sadar,26,70,Kushakhali,East Kallyan pur,239
Chittagong,Lakshmipur,Lakshmipur Sadar,28,400,Kushakhali,East Kallyan pur,240
Chittagong,Lakshmipur,Lakshmipur Sadar,26,40,Kushakhali,East Kallyan pur,241
Chittagong,Lakshmipur,Lakshmipur Sadar,26,20,Kushakhali,East Kallyan pur,242
Chittagong,Lakshmipur,Lakshmipur Sadar,36,40,Kushakhali,East Kallyan pur,243
Chittagong,Lakshmipur,Lakshmipur Sadar,28,200,Kushakhali,East Kallyan pur,244
Chittagong,Lakshmipur,Lakshmipur Sadar,36,200,Kushakhali,East Kallyan pur,245
