Division,District,Upazila,Depth,Arsenic,Union
Chittagong,Lakshmipur,Lakshmipur Sadar,250,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,218,0,Lakshmipur Paurashava
Chittagong,Lakshmipur,Lakshmipur Sadar,254,0,Lakshmipur Paurashava
Chittagong,Lakshmipur,Lakshmipur Sadar,246,0,Lakshmipur Paurashava
Chittagong,Lakshmipur,Lakshmipur Sadar,233,0,Lakshmipur Paurashava
Chittagong,Lakshmipur,Lakshmipur Sadar,246,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,238,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,238,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,255,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,219,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,229,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,215,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,250,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,254,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,260,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,253,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,243,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,254,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,256,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,218,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,260,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,242,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,239,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,229,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,252,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,253,0,Lakshmipur Paurashava
Chittagong,Lakshmipur,Lakshmipur Sadar,259,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,248,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,248,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,252,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,252,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,252,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,254,0,Tum Char
Chittagong,Lakshmipur,Lakshmipur Sadar,257,0,Tum Char
