id,Division,District,Upazila,Union,Mouza,Depth,Arsenic,lon,lat
0,Khulna,Satkhira,Kalaroa,Paurashava, ,39,147,89.04,22.86
0,Chittagong,Noakhali,Companiganj,Rampur,Rampur,9,83.4,91.289,22.818
0,Chittagong,Feni,Sonagazi,Sonagazi Paurashava,Char Ganesh,12,127,91.393,22.849
0,Khulna,Bagerhat,Mollahat,Kodalia,Rangamatia,21,46.9,89.819,22.855
0,Chittagong,Noakhali,Noakhali Sadar (Sudharam),Noannai,Ratanpur,9,132,91.055,22.846
0,Barisal,Barisal,Babuganj,Kedarpur,Dakshin Bhutardia,21,106,90.323,22.831
0,Khulna,Bagerhat,Chitalmari,Hizla,Hizla,25,96.9,89.849,22.841
0,Khulna,Khulna,Dumuria,Maguraghona,Betagram,53,65.7,89.274,22.825
0,Khulna,Khulna,Rupsa,Aijganti,Aijganti,62,137,89.575,22.826
0,Khulna,Satkhira,Satkhira Sadar,Jhaudanga,Patharghata,34,109,89.038,22.811
0,Chittagong,Lakshmipur,Kamalnagar,Torabgang,Char Pagla,9,92.4,90.902,22.752
0,Barisal,Barisal,Wazirpur,Shikarpur,Uzirpur,17,59.2,90.252,22.821
0,Khulna,Bagerhat,Chitalmari,Hizla,Boalia,20,134,89.876,22.791
0,Barisal,Pirojpur,Nazirpur,Shankharikati,Baghajora,18,50.3,89.956,22.791
0,Khulna,Khulna,Rupsa,T.S.Bahirdia,Taltala,69,55.9,89.645,22.812
0,Khulna,Khulna,Rupsa,T.S.Bahirdia,Taltala,131,89,89.645,22.8
0,Barisal,Barisal,Babuganj,Chandpasha,Chand Pasha Kismat,22,140,90.328,22.801
0,Barisal,Barisal,Banari Para,Salia Bakpur,Sakharia,23,149,90.187,22.798
0,Khulna,Khulna,Rupsa,Naihati,Baghmara,75,87.4,89.589,22.797
0,Khulna,Bagerhat,Fakirhat,Bahirdia Mansa,Bahirdia,39,121,89.706,22.778
0,Khulna,Satkhira,Tala,Sarulia,Shandaha,38,108,89.143,22.765
0,Barisal,Barisal,Mehendiganj,Char Gopalpur,Kazir Char,20,120,90.526,22.764
0,Chittagong,Chittagong,Mirsharai,Khaiyachhara,Purba Mayani,7,75.7,91.565,22.739
0,Khulna,Satkhira,Satkhira Sadar,Shibpur,Purushuttampur,36,73.5,89.02,22.751
0,Khulna,Satkhira,Tala,Tala,Tala,22,106,89.259,22.75
0,Khulna,Satkhira,Tala,Khalilnagar,Khalilnagar,45,75.8,89.297,22.733
0,Khulna,Satkhira,Satkhira Sadar,Brahma Rajpur,Machhkhola,23,72.9,89.107,22.711
0,Khulna,Satkhira,Satkhira Sadar,Brahma Rajpur,Machhkhola,44,143,89.107,22.711
0,Barisal,Pirojpur,Nazirpur,Sekhmatia,Paschim Chhota Baichh,19,110,89.953,22.713
0,Khulna,Bagerhat,Kachua,Dhopakhali,Kamargati,18,59,89.847,22.722
0,Barisal,Barisal,BrslSdr(Kotwali, , ,331,54,90.357,22.702
0,Khulna,Khulna,Paikgachha,Kapilmuni,Kashimnagar,41,88.3,89.306,22.71
0,Khulna,Satkhira,Satkhira Sadar,Dhulihar,Dhulihar,223,108,89.122,22.685
0,Khulna,Satkhira,Satkhira Sadar,Alipur,Mahmudpur,43,136,88.985,22.693
0,Khulna,Satkhira,Satkhira Sadar,Alipur,Alipur,39,82.8,89.024,22.683
0,Barisal,Pirojpur,Nesarabad (Swarupkati),Guarekha,Bharatkati,21,66.6,89.998,22.698
0,Barisal,Jhalokati,Jhalokati Sadar,Basanda,Darkhi,16,68.7,90.204,22.688
0,Khulna,Bagerhat,Fakirhat,Subhadia,Tekatia,16,127,89.618,22.672
0,Khulna,Bagerhat,Kachua,Maghia,Ghonarhula,24,103,89.876,22.666
0,Khulna,Bagerhat,Bagerhat Sadar,Kara Para,Kanthal,29,130,89.774,22.663
0,Chittagong,Lakshmipur,Ramgati,Char Algi,Char Algi,9,99.3,90.952,22.614
0,Chittagong,Chittagong,Sitakunda,Sitakunda Paurashava,Shibpur,19,151,91.645,22.613
0,Khulna,Khulna,Paikgachha,Gadaipur,Gadaipur,50,97,89.304,22.624
0,Khulna,Satkhira,Debhata,Parulia,Parulia,46,56.2,89.076,22.57
0,Khulna,Bagerhat,Kachua,Rari Para,Rari Para,9,45.6,89.85,22.606
0,Chittagong,Lakshmipur,Ramgati,Bara Kheri,Bara Kheri,9,82.6,90.997,22.587
0,Khulna,Bagerhat,Rampal,Banshtali,Talbunia,14,129,89.665,22.579
0,Khulna,Satkhira,Debhata,Sakhipur,Mahmud Alipur,31,58.7,88.965,22.576
0,Khulna,Bagerhat,Rampal,Rampal,Sreefaltala,24,148,89.659,22.575
0,Barisal,Barisal,Bakerganj,Rangasree,Nanda Para,17,137,90.338,22.566
0,Khulna,Satkhira,Debhata,Sakhipur,Konra,26,73.5,88.981,22.564
0,Khulna,Khulna,Paikgachha,Laskar,Laskar,51,68,89.322,22.567
0,Khulna,Khulna,Paikgachha,Laskar,Laskar,49,130,89.325,22.576
0,Chittagong,Chittagong,Sitakunda,Banshbaria,Banshbaria,17,65.1,91.684,22.546
0,Khulna,Bagerhat,Morrelganj,Teligati,Chapri,20,92,89.845,22.565
0,Khulna,Bagerhat,Morrelganj,Daibagnyahati,Nurullapur,20,81.3,89.863,22.561
0,Barisal,Pirojpur,Pirojpur Sadar,Shankarpasha,Shankarpasha,22,53.2,89.992,22.533
0,Khulna,Satkhira,Assasuni,Sobhnali,Bantra,13,86.2,89.12,22.535
0,Khulna,Satkhira,Assasuni,Baradal,Baradal,56,155,89.24,22.538
0,Khulna,Satkhira,Kaliganj,Nalta,Shibpur,20,100,89.021,22.52
0,Khulna,Bagerhat,Sarankhola,Royenda,Royenda,10,60.1,89.844,22.287
0,Chittagong,Cox'S Bazar,Ukhia,Ratna Palong,Ratna Palong,25,70.1,92.104,21.276
0,Rangpur,Rangpur,Pirgachha,Kaikuri,Nazar Mahammad,14,298,89.4343,25.6163
0,Rangpur,Rangpur,Pirgachha,Kandi,Paschim Pataksikar,20,708,89.4541,25.5962
0,Rangpur,Kurigram,Ulipur,Begumganj,Akel Mamud,12,187,89.7181,25.759
0,Rangpur,Kurigram,Rajarhat,Bidyananda,Manashwar,14,178,89.5239,25.7591
0,Rangpur,Kurigram,Rajarhat,Omar Majid,Taluk Subal,14,420,89.582,25.7339
0,Mymensingh,Sherpur,Sreebardi,Kharia Kazir Char,Langar Para,34,168,89.9651,25.0878
0,Mymensingh,Netrakona,Kalmakanda,Kalmakanda,Basaura,143,262,90.8792,25.0723
0,Mymensingh,Netrakona,Durgapur,Birisiri,Birmarhala,47,176,90.6955,25.0655
0,Mymensingh,Netrakona,Atpara,Sukhari,Dakshin Sukhari,105,216,90.9456,24.735
0,Mymensingh,Mymensingh,Dhobaura,Ghoshgaon,Baligaon,60,171,90.4839,25.1319
0,Mymensingh,Mymensingh,Dhobaura,Dakshin Maij Para,Jangalia Para,46,200,90.5753,25.1389
0,Mymensingh,Jamalpur,Sarishabari,Bhatara,Bangali (Part),21,230,89.8506,24.7828
0,Sylhet,Sunamganj,Dowarabazar,Dakshin Dowarabaza,Bajitpur,53,204,91.5601,25.047
0,Sylhet,Sunamganj,Chhatak,Chhatak Paurashava,Baghbari,110,246,91.663,25.031
0,Rajshahi,Bogra,Gabtali,Rameshwarpur,Satihara,20,632,89.4081,24.9388
0,Rajshahi,Nawabganj,Gomastapur,Parbatipur,Parbatipur,49,6,88.4394,24.8733
0,Rajshahi,Naogaon,Manda,Ganeshpur,Parail,34,164,88.7083,24.7692
0,Rajshahi,Nawabganj,Shibganj,Binodpur,Kiranganj,34,5.5,88.0738,24.7495
0,Rajshahi,Nawabganj,Shibganj,Shyampur,Bajitpur,28,1.5,88.154,24.7372
0,Rajshahi,Nawabganj,Shibganj,Mobarakpur,Kalabari,39,0.5,88.1692,24.7347
0,Rajshahi,Nawabganj,Shibganj,Shyampur,Sadashibpur,35,10.7,88.1603,24.7262
0,Rajshahi,Nawabganj,Shibganj,Kansat,Bagh Durgapur,33,0.5,88.1777,24.7282
0,Rajshahi,Nawabganj,Shibganj,Kansat,Namo Biswhanathpur,38,8.9,88.2015,24.721
0,Rajshahi,Nawabganj,Shibganj,Chak Kirti,Chak Nandra,34,12.1,88.2192,24.719
0,Rajshahi,Nawabganj,Shibganj,Kansat,Shibnagar,36,3.9,88.1888,24.7177
0,Rajshahi,Nawabganj,Shibganj,Kansat,Mohanbagh,34,0.5,88.1715,24.7103
0,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Dakshin Chari Mirzapu,29,6,88.2739,24.7072
0,Rajshahi,Nawabganj,Shibganj,Durlabhpur,Hasinpur,37,0.5,88.1488,24.6842
0,Rajshahi,Naogaon,Manda,Nurullabad,Ramnagar,34,244,88.7117,24.6992
0,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Harirampur,34,6,88.295,24.6889
0,Rajshahi,Nawabganj,Shibganj,Paurashava, ,35,0.5,88.1572,24.6892
0,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Nadhai Krishnapur,29,6,88.3189,24.68
0,Rajshahi,Nawabganj,Shibganj,Dhainagar,Chaitanpur,9,0.5,88.248,24.6803
0,Rajshahi,Nawabganj,Shibganj,Dhainagar,Chaitanpur,34,2.7,88.2535,24.6797
0,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Arunbari,29,6,88.2633,24.6883
0,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Chapai Dakshinbaria,20,6,88.2983,24.665
0,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Agna (Delbari),38,6,88.3358,24.6706
0,Rajshahi,Sirajganj,Kazipur,Kazipur,Meghai,14,384,89.6445,24.6569
0,Rajshahi,Nawabganj,Nawabganj Sadar,Balidanga,Krishnapur,29,6,88.2825,24.6544
0,Rajshahi,Nawabganj,Shibganj,Naya Naobhanga,Birahimpur,29,6,88.2381,24.6372
0,Rajshahi,Nawabganj,Shibganj,Panka,Babupur,23,0.5,88.1127,24.6562
0,Rajshahi,Nawabganj,Shibganj,Naya Naobhanga,Chandipur,20,0.5,88.191,24.6577
0,Rajshahi,Nawabganj,Shibganj,Naya Naobhanga,Chandipur,6,0.5,88.1883,24.6595
0,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Amarak,38,6,88.3139,24.6525
0,Rajshahi,Nawabganj,Nachole,Nizampur,Basugram,26,6,88.3489,24.6544
0,Rajshahi,Nawabganj,Shibganj,Naya Naobhanga,Naobhanga (Sabek),35,0.5,88.1967,24.6347
0,Rajshahi,Nawabganj,Nawabganj Sadar,Balidanga,Sreerampur,35,10,88.2806,24.6433
0,Rajshahi,Nawabganj,Nawabganj Sadar,Jhilim,Jolahar,43,6,88.3783,24.6403
0,Rajshahi,Nawabganj,Nawabganj Sadar,Jhilim,Kochla Para,38,6,88.3217,24.6267
0,Rajshahi,Nawabganj,Nawabganj Sadar,Jhilim,Jhilim,43,6,88.4044,24.6414
0,Sylhet,Sylhet,Balaganj,Paschim Pailanpur,Mostafapur,137,157,91.688,24.632
0,Rajshahi,Nawabganj,Nawabganj Sadar,Balidanga,Taharpur,27,6,88.295,24.6306
0,Rajshahi,Nawabganj,Nawabganj Sadar,Balidanga,Taharpur,27,6,88.295,24.6306
0,Rajshahi,Nawabganj,Shibganj,Uzirpur,Radhakantapur,19,0.5,88.1503,24.6233
